datetime,value
2024-05-18T00:00:00Z,1501.0
2024-05-18T06:00:00Z,1685.0
2024-05-18T12:00:00Z,1832.0
2024-05-18T18:00:00Z,1681.0
2024-05-19T00:00:00Z,1420.0
2024-05-19T06:00:00Z,1484.0
2024-05-19T12:00:00Z,1704.0
2024-05-19T18:00:00Z,1274.0
2024-05-20T00:00:00Z,1502.0
2024-05-20T06:00:00Z,2358.0
2024-05-20T12:00:00Z,2920.0
2024-05-20T18:00:00Z,3577.0
2024-05-21T00:00:00Z,2807.0
2024-05-21T06:00:00Z,3495.0
2024-05-21T12:00:00Z,3773.0
2024-05-21T18:00:00Z,2675.0
2024-05-22T00:00:00Z,1815.0
2024-05-22T06:00:00Z,2154.0
2024-05-22T12:00:00Z,3079.0
2024-05-22T18:00:00Z,2571.0
2024-05-23T00:00:00Z,1638.0
2024-05-23T06:00:00Z,2663.0
2024-05-23T12:00:00Z,3003.0
2024-05-23T18:00:00Z,3404.0
2024-05-24T00:00:00Z,1799.0
2024-05-24T06:00:00Z,2494.0
2024-05-24T12:00:00Z,2810.0
2024-05-24T18:00:00Z,2370.0
2024-05-25T00:00:00Z,1458.0
2024-05-25T06:00:00Z,1620.0
2024-05-25T12:00:00Z,1536.0
2024-05-25T18:00:00Z,1313.0
2024-05-26T00:00:00Z,1103.0
2024-05-26T06:00:00Z,1300.0
2024-05-26T12:00:00Z,1531.0
2024-05-26T18:00:00Z,1363.0
2024-05-27T00:00:00Z,1232.0
2024-05-27T06:00:00Z,1893.0
2024-05-27T12:00:00Z,2572.0
2024-05-27T18:00:00Z,1760.0
2024-05-28T00:00:00Z,1487.0
2024-05-28T06:00:00Z,2191.0
2024-05-28T12:00:00Z,2571.0
2024-05-28T18:00:00Z,2136.0
2024-05-29T00:00:00Z,1455.0
2024-05-29T06:00:00Z,1937.0
2024-05-29T12:00:00Z,2400.0
2024-05-29T18:00:00Z,2367.0
2024-05-30T00:00:00Z,2454.0
2024-05-30T06:00:00Z,1818.0
2024-05-30T12:00:00Z,2441.0
2024-05-30T18:00:00Z,2180.0
2024-05-31T00:00:00Z,2064.0
2024-05-31T06:00:00Z,1797.0
2024-05-31T12:00:00Z,2931.0
2024-05-31T18:00:00Z,2566.0
2024-06-01T00:00:00Z,1551.0
2024-06-01T06:00:00Z,1588.0
2024-06-01T12:00:00Z,1645.0
2024-06-01T18:00:00Z,1494.0
2024-06-02T00:00:00Z,937.0
2024-06-02T06:00:00Z,1263.0
2024-06-02T12:00:00Z,1546.0
2024-06-02T18:00:00Z,1338.0
2024-06-03T00:00:00Z,1578.0
2024-06-03T06:00:00Z,2849.0
2024-06-03T12:00:00Z,3290.0
2024-06-03T18:00:00Z,2153.0
2024-06-04T00:00:00Z,1555.0
2024-06-04T06:00:00Z,2214.0
2024-06-04T12:00:00Z,2773.0
2024-06-04T18:00:00Z,2909.0
2024-06-05T00:00:00Z,1820.0
2024-06-05T06:00:00Z,1970.0
2024-06-05T12:00:00Z,3107.0
2024-06-05T18:00:00Z,2893.0
2024-06-06T00:00:00Z,1438.0
